date;close;Change;Up;Down;Av up;Av down;Relative;RSI
2017-11-08;104;-0.1;0;0.1;0.291806181;0.253168858;1.152614834;53.54487091
2017-11-09;103.3;-0.7;0;0.7;0.262625563;0.297851972;0.881731825;46.85746468
2017-11-10;102.9;-0.4;0;0.4;0.236363007;0.308066775;0.767246019;43.41478272
2017-11-13;102.7;-0.2;0;0.2;0.212726706;0.297260098;0.715624828;41.71219817
2017-11-14;101.6;-1.1;0;1.1;0.191454036;0.377534088;0.507117216;33.64816026
2017-11-15;101;-0.6;0;0.6;0.172308632;0.399780679;0.431007903;30.11918396
2017-11-16;101;0;0;0;0.155077769;0.359802611;0.431007903;30.11918396
2017-11-17;99.45;-1.55;0;1.55;0.139569992;0.47882235;0.291485959;22.56981248
2017-11-20;99;-0.45;0;0.45;0.125612993;0.475940115;0.263926046;20.8814469
2017-11-21;98.75;-0.25;0;0.25;0.113051693;0.453346104;0.249371711;19.95976928
2017-11-22;98.05;-0.7;0;0.7;0.101746524;0.478011493;0.212853719;17.54982615
2017-11-23;98.05;0;0;0;0.091571872;0.430210344;0.212853719;17.54982615
2017-11-24;98.25;0.2;0.2;0;0.102414685;0.387189309;0.264508038;20.91786133
2017-11-27;97.55;-0.7;0;0.7;0.092173216;0.418470379;0.220262224;18.05040092
2017-11-28;98.1;0.55;0.55;0;0.137955894;0.376623341;0.36629672;26.80945617
2017-11-29;98.8;0.7;0.7;0;0.194160305;0.338961007;0.57281015;36.41953544
2017-11-30;99.4;0.6;0.6;0;0.234744275;0.305064906;0.769489607;43.48652876
2017-12-01;97.95;-1.45;0;1.45;0.211269847;0.419558415;0.503552877;33.49086584
2017-12-04;99.45;1.5;1.5;0;0.340142862;0.377602574;0.900795932;47.3904598
2017-12-05;98.6;-0.85;0;0.85;0.306128576;0.424842316;0.720569878;41.87972178
2017-12-06;97.2;-1.4;0;1.4;0.275515719;0.522358085;0.527446069;34.53124008
2017-12-07;97.75;0.55;0.55;0;0.302964147;0.470122276;0.644436909;39.18891054
2017-12-08;99.4;1.65;1.65;0;0.437667732;0.423110049;1.034406376;50.84561217
2017-12-11;99.85;0.45;0.45;0;0.438900959;0.380799044;1.152578941;53.5440963
2017-12-12;99.95;0.1;0.1;0;0.405010863;0.342719139;1.181757353;54.1653888
2017-12-13;99.7;-0.25;0;0.25;0.364509777;0.333447225;1.093155824;52.22524819
2017-12-14;98.4;-1.3;0;1.3;0.328058799;0.430102503;0.762745617;43.27031703
2017-12-15;97.9;-0.5;0;0.5;0.295252919;0.437092253;0.675493371;40.31608734
2017-12-18;99.25;1.35;1.35;0;0.400727627;0.393383027;1.018670352;50.46244184
2017-12-19;99;-0.25;0;0.25;0.360654864;0.379044725;0.951483667;48.75693724
2017-12-20;97.85;-1.15;0;1.15;0.324589378;0.456140252;0.711599944;41.57513247
2017-12-21;99.1;1.25;1.25;0;0.41713044;0.410526227;1.01608719;50.39897058
2017-12-22;98.1;-1;0;1;0.375417396;0.469473604;0.799656025;44.4338259
2017-12-27;97;-1.1;0;1.1;0.337875657;0.532526244;0.634477006;38.81835005
2017-12-28;97;0;0;0;0.304088091;0.479273619;0.634477006;38.81835005
2017-12-29;96.3;-0.7;0;0.7;0.273679282;0.501346258;0.54588875;35.31229204
2018-01-02;96.42;0.12;0.12;0;0.258311354;0.451211632;0.572483809;36.40634045
2018-01-03;96.54;0.12;0.12;0;0.244480218;0.406090469;0.602033875;37.57934737
2018-01-04;98.16;1.62;1.62;0;0.382032196;0.365481422;1.045284859;51.10705506
2018-01-05;98.92;0.76;0.76;0;0.419828977;0.32893328;1.276334755;56.06973018
2018-01-08;99.3;0.38;0.38;0;0.415846079;0.296039952;1.404695808;58.41469859
2018-01-09;101.45;2.15;2.15;0;0.589261471;0.266435956;2.21164395;68.86329819
2018-01-10;102.2;0.75;0.75;0;0.605335324;0.239792361;2.524414548;71.62649324
2018-01-11;101.8;-0.4;0;0.4;0.544801792;0.255813125;2.129686631;68.04791923
2018-01-12;101.45;-0.35;0;0.35;0.490321613;0.265231812;1.848653102;64.89569056
2018-01-15;100.95;-0.5;0;0.5;0.441289451;0.288708631;1.528494142;60.45076857
2018-01-16;100.7;-0.25;0;0.25;0.397160506;0.284837768;1.394339343;58.23482569
2018-01-17;100.5;-0.2;0;0.2;0.357444456;0.276353991;1.293429684;56.39718075
2018-01-18;101.1;0.6;0.6;0;0.38170001;0.248718592;1.534666174;60.54707281
2018-01-19;100;-1.1;0;1.1;0.343530009;0.333846733;1.029005155;50.71476296
2018-01-22;102.35;2.35;2.35;0;0.544177008;0.30046206;1.811133855;64.42716528
2018-01-23;101.35;-1;0;1;0.489759307;0.370415854;1.322187759;56.93715996
2018-01-24;100.85;-0.5;0;0.5;0.440783377;0.383374268;1.1497469;53.48289606
2018-01-25;98.66;-2.19;0;2.19;0.396705039;0.564036841;0.703331786;41.29153179
2018-01-26;100.1;1.44;1.44;0;0.501034535;0.507633157;0.987001199;49.67290405
2018-01-29;100.2;0.1;0.1;0;0.460931081;0.456869842;1.008889271;50.22124841
2018-01-30;99.24;-0.96;0;0.96;0.414837973;0.507182857;0.817925857;44.99225609
2018-01-31;99.54;0.3;0.3;0;0.403354176;0.456464572;0.883648373;46.91153538
2018-02-01;101.1;1.56;1.56;0;0.519018758;0.410818114;1.263378464;55.81825948
2018-02-02;100.1;-1;0;1;0.467116883;0.469736303;0.994423636;49.86020112
2018-02-05;97.28;-2.82;0;2.82;0.420405194;0.704762673;0.596520234;37.36377536
2018-02-06;93.48;-3.8;0;3.8;0.378364675;1.014286405;0.373035341;27.16866272
2018-02-07;96.08;2.6;2.6;0;0.600528207;0.912857765;0.657855178;39.68110042
2018-02-08;94.78;-1.3;0;1.3;0.540475387;0.951571988;0.567981606;36.22374166
2018-02-09;93.96;-0.82;0;0.82;0.486427848;0.93841479;0.518350577;34.13905755
2018-02-12;94.38;0.42;0.42;0;0.479785063;0.844573311;0.568079831;36.22773659
2018-02-13;93.46;-0.92;0;0.92;0.431806557;0.85211598;0.506746226;33.63182315
2018-02-14;96.2;2.74;2.74;0;0.662625901;0.766904382;0.864026751;46.35270124
2018-02-15;96.36;0.16;0.16;0;0.612363311;0.690213943;0.887207969;47.01166928
2018-02-16;97.26;0.9;0.9;0;0.64112698;0.621192549;1.032090583;50.78959528
2018-02-19;97.8;0.54;0.54;0;0.631014282;0.559073294;1.128678992;53.02250814
2018-02-20;98.4;0.6;0.6;0;0.627912854;0.503165965;1.247923941;55.51450911
2018-02-21;98.64;0.24;0.24;0;0.589121568;0.452849368;1.300921696;56.53915552
2018-02-22;97.74;-0.9;0;0.9;0.530209412;0.497564431;1.065609553;51.58814025
2018-02-23;97.46;-0.28;0;0.28;0.47718847;0.475807988;1.002901343;50.0724285
2018-02-26;97.76;0.3;0.3;0;0.459469623;0.428227189;1.072957614;51.75974688
2018-02-27;98.72;0.96;0.96;0;0.509522661;0.385404471;1.322046577;56.93454171
2018-02-28;97.92;-0.8;0;0.8;0.458570395;0.426864023;1.074277451;51.79044155
2018-03-01;97.32;-0.6;0;0.6;0.412713355;0.444177621;0.929162875;48.16404499
2018-03-02;95.32;-2;0;2;0.37144202;0.599759859;0.619317906;38.24560351
2018-03-05;95.68;0.36;0.36;0;0.370297818;0.539783873;0.686011266;40.68841529
2018-03-06;96.1;0.42;0.42;0;0.375268036;0.485805486;0.772465621;43.58141629
2018-03-07;97.2;1.1;1.1;0;0.447741232;0.437224937;1.024052368;50.59416369
2018-03-08;98.54;1.34;1.34;0;0.536967109;0.393502444;1.364583926;57.7092617
2018-03-09;98.06;-0.48;0;0.48;0.483270398;0.402152199;1.201710197;54.58076174
2018-03-12;98.46;0.4;0.4;0;0.474943358;0.361936979;1.312226674;56.75164502
2018-03-13;96.92;-1.54;0;1.54;0.427449023;0.479743281;0.890995329;47.11779639
2018-03-14;97.66;0.74;0.74;0;0.45870412;0.431768953;1.062383289;51.51240773
2018-03-15;97.74;0.08;0.08;0;0.420833708;0.388592058;1.082970431;51.99163727
2018-03-16;98.54;0.8;0.8;0;0.458750338;0.349732852;1.311716457;56.7420997
2018-03-19;96.32;-2.22;0;2.22;0.412875304;0.536759567;0.769199711;43.47726864
2018-03-20;95.58;-0.74;0;0.74;0.371587773;0.55708361;0.667023345;40.01283769
2018-03-21;94.82;-0.76;0;0.76;0.334428996;0.577375249;0.579222952;36.67771869
2018-03-22;92.28;-2.54;0;2.54;0.300986096;0.773637724;0.389053024;28.00850778
2018-03-23;92.78;0.5;0.5;0;0.320887487;0.696273952;0.46086384;31.54735076
2018-03-26;92.1;-0.68;0;0.68;0.288798738;0.694646557;0.415749183;29.36601961
